genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,danceability_original,energy_original,loudness_original,speechiness_original,acousticness_original,instrumentalness_original,liveness_original,valence_original,tempo_original,duration_ms_original,time_signature_original
Alternative,0.530734003707317,0.7567251926504059,0.9017371800975608,0.6178861788617886,0.059064926764227685,0.0925375857886179,0.09949463809756097,0.17024718903252034,0.4740535241300813,0.44999392722764203,0.07904549744715444,0.7520325203252033,0.13008130081300814,0.0975609756097561,0.12195121951219512,0.032520325203252036,0.04878048780487805,0.08943089430894309,0.08943089430894309,0.08130081300813008,0.08130081300813008,0.13008130081300814,0.008130081300813009,0.08943089430894309,0.5480406504065042,0.7524227642276423,-5.854853658536582,0.06517235772357724,0.09216966747967482,0.09770373552845528,0.18460325203252032,0.4706138211382113,123.3191463414634,236849.30894308942,4.008130081300813
Christian,0.47391845243548375,0.6920608782096775,0.8961093688548385,0.8870967741935484,0.034338574129032254,0.13725101069354842,0.0017768015483870967,0.22718106596774199,0.37080636672580636,0.47163692453225814,0.08961901525806452,0.7298387096774194,0.1774193548387097,0.04838709677419355,0.12903225806451613,0.04838709677419355,0.016129032258064516,0.08064516129032258,0.08064516129032258,0.06451612903225806,0.04838709677419355,0.14516129032258066,0.016129032258064516,0.14516129032258066,0.49574193548387124,0.6882096774193549,-6.122596774193548,0.04751774193548387,0.13670412903225804,0.0017448209677419356,0.23924838709677418,0.3725806451612904,126.71791935483871,255529.2258064516,3.9193548387096775
Classical,0.19066376965999993,0.09654215069999993,0.5197313714999998,0.64,0.033005602220000006,0.917650399,0.50426733075,0.10711502394000001,0.12410215900000007,0.3149361301399999,0.20007464888999993,0.68,0.11,0.08,0.1,0.06,0.08,0.06,0.05,0.15,0.07,0.16,0.05,0.03,0.2350059999999999,0.09684648000000001,-24.028779999999987,0.04656599999999999,0.91398,0.49519051900000016,0.12400900000000005,0.13833499999999999,102.10994000000001,450667.88,3.72
Country,0.5263733477733332,0.7383072412266665,0.9107127693200001,0.9333333333333333,0.03241643324,0.1892164312133333,0.0007427664400000001,0.14032228933333335,0.5593765140266665,0.49525320833333336,0.06768011381333335,0.73,0.16,0.08,0.13333333333333333,0.02666666666666667,0.05333333333333334,0.06666666666666667,0.02666666666666667,0.13333333333333333,0.05333333333333334,0.06666666666666667,0.04,0.16,0.5440266666666667,0.7341333333333334,-5.42784,0.04614533333333334,0.18846156000000003,0.0007293961333333333,0.15588133333333332,0.5516279999999999,130.42657333333335,216770.42666666667,3.92
Dance/Electronic,0.6019071760277779,0.7442431061805554,0.8997284988888887,0.4722222222222222,0.06702264243055556,0.1094938006111111,0.1340537696944445,0.20250601975,0.37329881227777767,0.47288483605555576,0.0738380838611111,0.7395833333333334,0.1111111111111111,0.1388888888888889,0.1111111111111111,0.027777777777777776,0.0,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.125,0.1111111111111111,0.027777777777777776,0.06944444444444445,0.6135555555555555,0.7400277777777777,-5.9504166666666665,0.07085416666666663,0.10905801527777782,0.13164080055555552,0.2155652777777778,0.37494722222222227,126.91388888888888,227649.52777777778,3.9583333333333335
Folk,0.5331039893888889,0.509882739509259,0.8250989665740739,0.6944444444444444,0.02797748729629628,0.452809131222222,0.1400249932314815,0.13453998904629627,0.4194293293055558,0.3852379678796296,0.08231767484259259,0.7199074074074074,0.10185185185185185,0.07407407407407407,0.1388888888888889,0.018518518518518517,0.08333333333333333,0.08333333333333333,0.046296296296296294,0.18518518518518517,0.08333333333333333,0.10185185185185185,0.05555555555555555,0.027777777777777776,0.5502222222222223,0.507302777777778,-9.500916666666669,0.04297592592592592,0.45099924074074066,0.1375045449074074,0.15033148148148157,0.4187481481481481,113.15,242630.16666666666,3.8796296296296298
HipHop,0.70233568708,0.6834914030400001,0.8940388860000003,0.5,0.21650700288000008,0.16824868855999997,0.00263630436,0.17773702850000003,0.49868351761999996,0.3939186694000001,0.08323452588000001,0.745,0.02,0.14,0.14,0.06,0.08,0.12,0.08,0.1,0.02,0.02,0.14,0.08,0.7059999999999998,0.6796999999999999,-6.221099999999999,0.17758600000000002,0.16757774000000006,0.0025888528,0.191792,0.49400000000000005,114.5132,244249.94,3.98
R&B,0.6425391254615387,0.5899506413760685,0.8731780229572648,0.5299145299145299,0.1243194713760684,0.219054973974359,0.004682532837606838,0.1593841665641025,0.516901833188034,0.41503297745299134,0.0827523740769231,0.7264957264957265,0.05982905982905983,0.1452991452991453,0.09401709401709402,0.017094017094017096,0.05982905982905983,0.08547008547008547,0.1111111111111111,0.10256410256410256,0.13675213675213677,0.03418803418803419,0.06837606837606838,0.08547008547008547,0.6509572649572645,0.5868119658119655,-7.213555555555557,0.11176410256410256,0.2181806752136752,0.004598248803418805,0.17417692307692306,0.5112982905982906,117.82894871794876,243398.13675213675,3.905982905982906
Rap,0.7566654883597885,0.6134241669947087,0.8831529164550259,0.5238095238095238,0.2660545699788358,0.15286562725925934,0.006255260772486774,0.1721368317936508,0.4132350359735449,0.45802158492063505,0.06898418850264551,0.7566137566137566,0.07407407407407407,0.20634920634920634,0.1111111111111111,0.010582010582010581,0.042328042328042326,0.05291005291005291,0.0582010582010582,0.06349206349206349,0.12169312169312169,0.07407407407407407,0.09523809523809523,0.08994708994708994,0.756010582010582,0.6101216931216931,-6.738999999999998,0.21296296296296305,0.1522562486772487,0.006142666296296298,0.18641693121693123,0.4128666666666666,124.5797936507937,219074.2962962963,4.026455026455026
Rock,0.46182630211111125,0.8311131743888884,0.9179634495138891,0.5416666666666666,0.06595082477777775,0.056479869861111115,0.0645789935138889,0.16728745570833337,0.43407348891666664,0.4729788508333334,0.07599311130555558,0.7222222222222222,0.09722222222222222,0.1111111111111111,0.09722222222222222,0.027777777777777776,0.027777777777777776,0.16666666666666666,0.041666666666666664,0.1111111111111111,0.09722222222222222,0.09722222222222222,0.041666666666666664,0.08333333333333333,0.48461111111111094,0.8262916666666666,-5.082888888888887,0.0700888888888889,0.05625627208333333,0.06341657430555554,0.18176249999999997,0.4326527777777778,126.92865277777777,231456.75,3.888888888888889
